"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"52,L1WG03,LADIES WEDGES 3 NAVY,2,0,0,0,0,0,4,,,,,,,,,,,,,"
"53,L1WG04,LADIES WEDGES 4 GINGER SNAP,2,0,0,0,0,0,4,,,,,,,,,,,,,"
"54,Z2CL01,BABY BOYS COLLAB 1 DISNEY MICKEY BLACK,1,6,0,0,6,72,1,,keep wilbex 5,,,,,,,,,,,"
"55,M1BL01,MEN BLACK SERIES 1 MAROON,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"56,L1CP02,LADIES CLASSIC PASTEL 2 LILAC,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"57,L1CP04,LADIES CLASSIC PASTEL 4 STEEL BLUE,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"58,Z1MF02,BABY BOYS COLLAB 2 DISNEY MICKEY & FRIENDS BLUE,1,0,0,0,0,0,4,,,,,,,,,,,,,"
"59,Z1MF03,BABY BOYS COLLAB 3 DISNEY MICKEY & FRIENDS BROWN,1,0,0,0,0,0,4,,,,,,,,,,,,,"
"60,Z2GC01,BABY GIRLS COLLAB 1 PINK,2,48,0,0,48,576,3,,keep wilbex 20,,,,,,,,,,,"
"61,L1CA32,""LADIES CLASSIC 32,BLACK STONE"",2,0,0,0,0,33,4,,,,,,,,,,,,,"
"62,Z2CA01,""BABY BOYS CLASSIC 1,STEEL BLUE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"63,Z2CA02,""BABY BOYS CLASSIC 2,HAZELNUT"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"64,Z2CA03,""BABY BOYS CLASSIC 3,CANDY PINK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"65,M1CA32,""MEN CLASSIC 32,BLACK STONE"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"66,B1ON01,""BOYS ONYX 1, BLACK BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"67,B1ON02,""BOYS ONYX 2, ARMY BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"68,B1ON03,""BOYS ONYX 3, NAVY GREY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"69,B1SP01,BOYS STRIPE 1 BLACK TURQUOISE,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"70,B2CL09,BOYS COLLAB 9 DISNEY MICKEY BLACK,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"71,G2CL05,GIRLS COLLAB 5 DISNEY MINNIE CANDY PINK,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"72,B1SP02,BOYS STRIPE 2 NAVY RED,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"73,L1CM05,""LADIES CLASSIC METALIC 5,TEAL GREEN"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"74,M1SP02,""MEN STRIPE 2, TWILIGHT ORANGE0GREEN"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"75,G2CL07,""GIRLS COLLAB 7,GOLD CREAM"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"76,L1SG02,""LADIES SURFER GILR 2,NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"77,L1SG03,""LADIES SURFER GIRL 3,ROSE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"78,L1SG01,""LADIES SURFER GIRL 1,GREY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"79,L1WG01,LADIES WEDGES 1 BLACK GOLD,3,0,0,0,0,0,4,,,,,,,,,,,,,"
"80,M1CA28,""MEN CLASSIC 28, PLUM BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"81,L1KM06,""LADIES KIM 6, NAVY NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"82,L1EA12,""LADIES ELSA 12, BROWNIE GOLD"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"83,M1DL02,""MEN DALLAS 2, NAVY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"84,L1WG07,LADIES WEDGES 7 SILVER,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"85,Z2WB02,BABY UNI COLLAB WBB 2 GREY NAVY,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"86,L1CP03,LADIES CLASSIC PASTEL 3 CANDY PINK,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"87,Z2WB01,BABY UNI COLLAB WBB 1 BLUE NAVY,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"88,G1SP01,""GIRLS STRIPE 1, BLACK PINK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"89,B2CL10,BOYS COLLAB 10 DISNEY MICKEY LAVA,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"90,B2CL11,BOYS COLLAB 11 DISNEY MICKEY DOVE,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"91,G2CL06,GIRLS COLLAB 6 DISNEY MINNIE BEEN,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"92,G1SP02,GIRLS STRIPE 2 NAVY PINK,4,0,0,0,0,0,4,,,,,,,,,,,,,"
"93,L2AZCA1,""Ladies Classic 1, Jet Black"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"94,L3CA01,""LADIES CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"95,L2AZCA21,""Ladies Classic 21, Black-Gold"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"96,M1AZCA24,""MEN CLASSIC 24, NAVY GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"97,M1AZCA26,""MEN CLASSIC 26, RED BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"98,L3CA21,""LADIES CLASSIC 21, BLACK0GOLD"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"99,M1AZZDL1,""MEN DALLAS 1, JET BLACK"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"100,M1AZCA29,""MEN CLASSIC 29, BROWN BROWN"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"101,M1AZCA30,""MEN CLASSIC 30, BROWN BLACK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"102,M1AZCA31,""MEN CLASSIC 31, BLACK TURQUOISE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"103,E2AZEA8,""Ladies Elsa 8, Silver Black V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"104,L2AZCA22,""Ladies Classic 22, Navy Navy"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"105,MBLACK4,""MEN BLACK SERIES 4, LIGHT OLIVE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"106,MBLACK6,""MEN BLACK SERIES 6, STONE BLUE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"107,MBLACK7,""MEN BLACK SERIES 7, TURQUOISE"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"108,L3CA22,""LADIES CLASSIC 22, NAVY NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"109,L2AZCA23,""Ladies Classic 23, Navy Grey"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
