Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
B1ON01,"BOYS ONYX 1, BLACK BLACK",4,0,0,0,0,0,0,,0,0
B1ON02,"BOYS ONYX 2, ARMY BLACK",4,0,0,0,0,0,0,,0,0
B1ON03,"BOYS ONYX 3, NAVY GREY",4,0,0,0,0,0,0,,0,0
B1SP01,BOYS STRIPE 1 BLACK TURQUOISE,4,0,0,0,0,0,0,,0,0
B2CL09,BOYS COLLAB 9 DISNEY MICKEY BLACK,4,0,0,0,0,0,0,,0,0
G2CL05,GIRLS COLLAB 5 DISNEY MINNIE CANDY PINK,4,0,0,0,0,0,0,,0,0
B1SP02,BOYS STRIPE 2 NAVY RED,4,0,0,0,0,0,0,,0,0
L1CM05,"LADIES CLASSIC METALIC 5,TEAL GREEN",1,0,0,0,0,0,0,,0,0
M1SP02,"MEN STRIPE 2, TWILIGHT ORANGE0GREEN",1,0,0,0,0,0,0,,0,0
G2CL07,"GIRLS COLLAB 7,GOLD CREAM",4,0,0,0,0,0,0,,0,0
L1SG02,"LADIES SURFER GILR 2,NAVY",4,0,0,0,0,0,0,,0,0
L1SG03,"LADIES SURFER GIRL 3,ROSE",4,0,0,0,0,0,0,,0,0
L1SG01,"LADIES SURFER GIRL 1,GREY",4,0,0,0,0,0,0,,0,0
L1WG01,LADIES WEDGES 1 BLACK GOLD,3,0,0,0,0,0,0,,0,0
M1CA28,"MEN CLASSIC 28, PLUM BLACK",4,0,0,0,0,0,0,,0,0
L1KM06,"LADIES KIM 6, NAVY NAVY",4,0,0,0,0,0,0,,0,0
L1EA12,"LADIES ELSA 12, BROWNIE GOLD",3,0,0,0,0,0,0,,0,0
M1DL02,"MEN DALLAS 2, NAVY",4,0,0,0,0,0,0,,0,0
L1WG07,LADIES WEDGES 7 SILVER,4,0,0,0,0,0,0,,0,0
Z2WB02,BABY UNI COLLAB WBB 2 GREY NAVY,4,0,0,0,0,0,0,,0,0
L1CP03,LADIES CLASSIC PASTEL 3 CANDY PINK,4,0,0,0,0,0,0,,0,0
Z2WB01,BABY UNI COLLAB WBB 1 BLUE NAVY,4,0,0,0,0,0,0,,0,0
G1SP01,"GIRLS STRIPE 1, BLACK PINK",4,0,0,0,0,0,0,,0,0
B2CL10,BOYS COLLAB 10 DISNEY MICKEY LAVA,4,0,0,0,0,0,0,,0,0
B2CL11,BOYS COLLAB 11 DISNEY MICKEY DOVE,4,0,0,0,0,0,0,,0,0
G2CL06,GIRLS COLLAB 6 DISNEY MINNIE BEEN,4,0,0,0,0,0,0,,0,0
G1SP02,GIRLS STRIPE 2 NAVY PINK,4,0,0,0,0,0,0,,0,0
L2AZCA1,"Ladies Classic 1, Jet Black",1,0,0,0,0,0,0,,0,0
L3CA01,"LADIES CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
L2AZCA21,"Ladies Classic 21, Black-Gold",1,0,0,0,0,0,0,,0,0
M1AZCA24,"MEN CLASSIC 24, NAVY GREY",1,0,0,0,0,0,0,,0,0
M1AZCA26,"MEN CLASSIC 26, RED BLACK",5,0,0,0,0,0,0,,0,0
L3CA21,"LADIES CLASSIC 21, BLACK0GOLD",1,0,0,0,0,0,0,,0,0
